Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount (%),Revenue ($),Region
2023-01-01,1,Product_1,196,18.939765371138925,10,3340.9746114689065,USA
2023-01-01,2,Product_2,356,27.979946188922522,10,8964.774758930776,USA
2023-01-01,3,Product_3,57,13.29942706153233,10,682.2606082566085,USA
2023-01-01,4,Product_4,308,36.512402324582695,0,11245.81991597147,USA
2023-01-01,5,Product_5,357,48.3448209369903,5,16396.146020780263,USA
2023-01-01,6,Product_6,199,7.092788176280853,10,1270.3183623719008,USA
2023-01-01,7,Product_7,77,48.2095742137751,10,3340.9234930146145,USA
2023-01-01,8,Product_8,235,36.402680851707274,5,8126.8985001436495,USA
2023-01-01,9,Product_9,313,23.858413634132567,0,7467.683467483494,USA
2023-01-01,10,Product_10,143,37.028324167908295,15,4500.792802609253,USA
2023-01-01,11,Product_11,125,12.268473550965727,10,1380.2032744836442,USA
2023-01-01,12,Product_12,289,30.240163715517816,15,7428.496216716951,USA
2023-01-01,13,Product_13,164,30.050921060505424,10,4435.5159485306,USA
2023-01-01,14,Product_14,168,28.570561866413048,15,4079.876234523783,USA
2023-01-01,15,Product_15,299,12.924334657723886,10,3477.938456393498,USA
2023-01-01,16,Product_16,119,11.871652388903215,10,1271.4539708515345,USA
2023-01-01,17,Product_17,171,16.921043511558473,0,2893.4984404764987,USA
2023-01-01,18,Product_18,259,39.73059728411727,15,8746.690992098418,USA
2023-01-01,19,Product_19,305,27.081928340998203,15,7020.989922403784,USA
2023-01-01,20,Product_20,463,14.142472605516906,5,6220.566575536611,USA
2023-01-01,21,Product_21,476,44.584564816354245,5,20161.14020995539,USA
2023-01-01,22,Product_22,317,5.521511532472801,10,1575.2872402144903,USA
2023-01-01,23,Product_23,317,8.31829856955393,15,2241.3655495663065,USA
2023-01-01,24,Product_24,482,6.737004343213178,5,3084.874288757314,USA
2023-01-01,25,Product_25,189,8.741073000729424,0,1652.062797137861,USA
2023-01-01,26,Product_26,64,12.47378044256007,10,718.4897534914601,USA
2023-01-01,27,Product_27,236,29.563640323461584,5,6628.1681605200865,USA
2023-01-01,28,Product_28,217,29.221548606530956,10,5706.968442855496,USA
2023-01-01,29,Product_29,368,11.872857009328024,10,3932.290241489442,USA
2023-01-01,30,Product_30,338,49.25024692557963,5,15814.254287803618,USA
2023-01-01,31,Product_31,159,33.81053335667061,0,5375.874803710627,USA
2023-01-01,32,Product_32,106,28.23937349035377,5,2843.7049104786247,USA
2023-01-01,33,Product_33,453,37.92333111736987,0,17179.26899616855,USA
2023-01-01,34,Product_34,265,49.023755090390615,5,12341.730344005837,USA
2023-01-01,35,Product_35,459,32.725791591466475,0,15021.138340483112,USA
2023-01-01,36,Product_36,204,25.835842290222992,0,5270.511827205491,USA
2023-01-01,37,Product_37,50,6.093937817646721,5,289.46204633821924,USA
2023-01-01,38,Product_38,167,11.829484363273178,5,1876.7476942332896,USA
2023-01-01,39,Product_39,352,22.099722192762346,5,7390.1471012597285,USA
2023-01-01,40,Product_40,53,38.777283626138065,0,2055.1960321853176,USA
2023-01-01,41,Product_41,452,36.52948558105395,0,16511.327482636385,USA
2023-01-01,42,Product_42,343,23.33024190546672,5,7602.159324896331,USA
2023-01-01,43,Product_43,340,14.703551822882352,15,4249.326476812999,USA
2023-01-01,44,Product_44,199,41.07944331102434,0,8174.809218893844,USA
2023-01-01,45,Product_45,112,28.48297851606958,10,2871.0842344198136,USA
2023-01-01,46,Product_46,399,44.54624113541831,10,15996.555191728718,USA
2023-01-01,47,Product_47,417,16.59027051672775,0,6918.1428054754715,USA
2023-01-01,48,Product_48,458,13.290483623286681,15,5173.985274545505,USA
2023-01-01,49,Product_49,131,46.3159138147661,10,5460.646238760923,USA
2023-01-01,50,Product_50,89,19.158018756562065,15,1449.3041189339203,USA
2023-01-08,1,Product_1,260,26.008135174857664,15,5747.797873643543,USA
2023-01-08,2,Product_2,245,23.253202664428702,5,5412.18292014578,USA
2023-01-08,3,Product_3,208,11.724046104718937,5,2316.671510292462,USA
2023-01-08,4,Product_4,395,18.68743350013054,10,6643.382609296406,USA
2023-01-08,5,Product_5,261,41.02386029053844,15,9101.143405455952,USA
2023-01-08,6,Product_6,356,22.431265053999454,10,7186.977323301425,USA
2023-01-08,7,Product_7,429,5.316362255456409,5,2166.683437211259,USA
